prompt,response
"Role: duelist, Country: ('GI', 'Gibraltar'), Sex: female","
Name: Jamie Adeyemi
Codename: Phoenix
Role: Duelist
Appearance: Jamie is a young woman with a slim build and a height of 5'7"". She has dark brown skin, brown eyes, and short black hair. She wears a bright yellow and orange jumpsuit with a hood and a pair of goggles. She also wears a pair of black boots and a pair of gloves.
Biography: Jamie Adeyemi was born and raised in the Peckham district of London, England. She attended a Performing Arts school in the area but was later suspended. After the events of First Light, Jamie was recruited into the VALORANT Protocol as its ninth agent, ""Phoenix"".
Personality: Jamie is a brash and impulsive individual, never hesitating to charge into a fight head-on despite not getting a full grasp of the situation. She is also known to be a prodigy, claiming that it wasn't her own words. Despite her hasty ways, she is always able to quickly adapt to the circumstances and turn the tables around.
Abilities:
C - Hot Hands: Phoenix throws a fireball that explodes after a short delay or on impact with the ground.
Q - Blaze: Phoenix creates a wall of fire that blocks vision and damages anyone passing through it.
E - Curveball: Phoenix throws a flare that curves in the direction of her crosshair, blinding all players who look at it.
X - Run it Back: Phoenix marks her current location and, if she dies within the next 10 seconds, she will respawn at the marked location with full health and abilities.
Relationships: Phoenix is close friends with Sova, Cypher, and Killjoy. She is also on good terms with Brimstone, Viper, and Skye."
"Role: initiator, Country: ('VC', 'St Vincent/Grenadines'), Sex: female","
Name: Kaya Williams
Codename: Breach
Role: Initiator
Appearance: Kaya is a tall woman with a muscular build and a dark complexion. She has short black hair and brown eyes. She wears a black and yellow jumpsuit with a yellow and black mask.
Relationships: Kaya has a strong bond with Skye, as they both have a similar background of fighting against Kingdom Corporation. She also has a strained relationship with Sage, due to a past misunderstanding.
Biography: Kaya Williams is a former soldier from St. Vincent and the Grenadines. She was recruited by the VALORANT Protocol as their twenty-first agent, ""Breach"". Kaya has a long history of being in the battlefield, and she is not afraid to take risks. She is a thrill-seeker and loves the adrenaline rush of a shootout.
Personality: Kaya is a confident and aggressive agent who loves the thrill of battle. She is not afraid to call herself a monster and will act like one if it means the success of her mission. She is also quite loud and tends to rush into fights, leaving her team behind.
Abilities:
C - Flashpoint: Kaya throws a device that creates a flash of light that blinds enemies in a large area.
Q - Aftershock: Kaya fires a seismic blast that damages and slows enemies in a line.
E - Fault Line: Kaya creates a wall of seismic energy that damages and knocks back enemies.
X - Rolling Thunder: Kaya creates a seismic shockwave that damages and knocks up enemies in a large area."
"Role: sentinel, Country: ('CF', 'Central African Rep'), Sex: male","
Name: N'Golo Kante
Codename: Sentinel
Role: Sentinel
Appearance: N'Golo is a tall, muscular man with dark skin and a shaved head. He wears a black and gold armor with a red cape, and a golden mask with a red visor.
Personality: N'Golo is a stoic and determined individual, willing to do whatever it takes to protect his allies and complete his mission. He is also a loyal and reliable friend, always willing to lend a helping hand.
Abilities:
C - Kinetic Shield: N'Golo creates a shield of kinetic energy that blocks incoming attacks.
Q - Kinetic Pulse: N'Golo sends out a pulse of kinetic energy that damages enemies and knocks them back.
E - Kinetic Dash: N'Golo dashes forward, leaving a trail of kinetic energy that damages enemies.
X - Kinetic Surge: N'Golo creates a surge of kinetic energy that damages and knocks back enemies in a large area.
Relationships:
- Brimstone: N'Golo and Brimstone have a strong bond, with Brimstone trusting N'Golo to protect the Protocol's agents.
- Viper: N'Golo and Viper have a friendly relationship, with Viper often relying on N'Golo's help in missions.
- Skye: N'Golo and Skye have a close relationship, with N'Golo often helping Skye in her missions."
"Role: initiator, Country: ('JO', 'Jordan'), Sex: male","
Name: Amir El Amari
Codename: Omen
Role: Initiator
Appearance: Omen wears a black face-concealing mask, a gray armor, black pants, and a purple hooded cape. His arms are wrapped in bandages while never revealing his form underneath. His face cannot be seen under his hood, with only three bright blue slits being present instead. Whenever Omen activates his ultimate ability, he fully appears in the form of a dark shade.
Biography: Amir El Amari hails from Rabat, Morocco. Growing up and living there in poverty at times, his city's resources were depleted due to the activities of Kingdom Corporation in the area, with El Amari harboring a negative view towards them as a result. An information broker who is constantly gathering intel, El Amari mostly keeps the results of his work and his secrets close to his chest - especially those about himself. Going to great lengths to ensure no one can gather secrets on the man who knows all the secrets, El Amari has set up multiple safehouses in order to stay hidden as well as never going anywhere without wearing his black face-concealing mask. Even once recruited by the secretive VALORANT Protocol as its fifth agent, ""Omen"", El Amari still keeps his face and identity hidden from his fellow agents. For now, nothing is worth the risk of removing his mask - not even for those closest to him.
Personality: Omen is a mysterious figure, rarely speaking and keeping his secrets close to his chest. He is a master of information gathering and is always looking for ways to stay hidden. He is also a master of deception, using his abilities to confuse and disorient his enemies.
Abilities:
C - Dark Cover: Omen creates a dark portal that obscures vision and allows him to teleport to any location within its range.
Q - Shadow Step: Omen creates a shadow clone of himself that can be used to scout out an area or distract enemies.
E - Shadow Strike: Omen throws a shadow blade that can be used to damage enemies or create a smokescreen.
X - Shadow Realm: Omen creates a dark realm that obscures vision and slows enemies down.
Relationships:
Klara Böhringer - Omen and Killjoy have a mutual respect for each other, as they both understand the importance of staying hidden and gathering information.
KAY/O - Omen and KAY/O have a friendly relationship, as they both understand the importance of working together as a team.
Harbor - Omen and Harbor have a friendly relationship, as they both understand the importance of working together as a team and the importance of staying hidden."
"Role: initiator, Country: ('KI', 'Kiribati'), Sex: female","
Name: Teiti Tebure
Codename: KI
Role: Initiator
Appearance: Teiti is a young woman with a slim build and a height of 5'7"". She has long, dark brown hair that is usually tied up in a bun, and her eyes are a deep, dark brown. She wears a white and blue jumpsuit with a hood and a pair of goggles, and she has a pair of white and blue boots.

Biography: Teiti Tebure is a native of Kiribati, a small island nation in the Pacific Ocean. She was born and raised in the small village of Tebure, and she was always fascinated by the ocean and the creatures that lived in it. As she grew older, she began to explore the depths of the ocean, and she soon discovered that she had the ability to manipulate the water around her. She used this power to protect her village from the dangers of the sea, and she soon gained the title of ""The Great Protector"".

When the VALORANT Protocol came to her village, they were impressed by her abilities and offered her a chance to join their ranks. Teiti accepted, and she now serves as the Protocol's twenty-first agent, ""KI"".

Personality: Teiti is a kind and gentle soul, but she is also fiercely protective of her home and her people. She is a natural leader, and she is always willing to take charge when the situation calls for it. She is also a bit of a daredevil, and she loves to take risks and push the boundaries of her abilities.

Abilities:
C - Tsunami: KI creates a massive wave of water that travels in a straight line, damaging and knocking back enemies in its path.
Q - Geyser: KI creates a geyser of water that launches enemies into the air.
E - Tidal Surge: KI creates a surge of water that pushes enemies away from her.
X - Ocean's Wrath: KI creates a massive tidal wave that damages and knocks back enemies in its path.

Relationships:
- Reyna: Teiti and Reyna have a close relationship, as they both share a passion for protecting their people.
- Sage: Teiti and Sage have a mutual respect for each other, and they often work together to protect the Protocol.
- Killjoy: Teiti and Killjoy have a friendly rivalry, as they both enjoy pushing the boundaries of their abilities."
"Role: controller, Country: ('AO', 'Angola'), Sex: male","
Name: N'Gola
Codename: N/A
Role: Controller
Appearance: N'Gola is a tall, muscular man with a bald head and a thick beard. He wears a black and red jumpsuit with a hood and a mask that covers his face. He also wears a pair of goggles and a pair of gloves with metal plates on the back.

Biography: N'Gola is a former soldier from Angola who was recruited by the VALORANT Protocol as its seventeenth agent. He was a highly skilled fighter and a master of explosives, and his expertise was invaluable to the Protocol. He was also a master of controlling the battlefield, using his knowledge of the terrain and his ability to manipulate the environment to his advantage.

Personality: N'Gola is a stoic and serious individual, but he is also fiercely loyal and protective of his allies. He is a man of few words, but when he does speak, it is usually to give orders or to provide tactical advice. He is also a man of action, and he is not afraid to take risks in order to achieve his goals.

Abilities:
C - Shockwave: N'Gola sends out a powerful shockwave that knocks back enemies and destroys any obstacles in its path.
Q - Flashbang: N'Gola throws a flashbang grenade that temporarily blinds and disorients enemies.
E - Trapwire: N'Gola sets up a trapwire that, when triggered, slows and damages enemies.
X - Reversal: N'Gola creates a powerful energy field that reverses the direction of any projectiles that pass through it.

Relationships:
- Sage: N'Gola and Sage have a strong bond, as Sage was the one who recruited him into the VALORANT Protocol.
- Raze: N'Gola and Raze have a friendly rivalry, as they both have a similar skill set and often compete to see who can be the most effective on the battlefield.
- Cypher: N'Gola and Cypher have a mutual respect for each other, as they both understand the importance of gathering intelligence and using it to their advantage."
"Role: duelist, Country: ('IR', 'Iran'), Sex: female","
Name: Zahra Alavi
Codename: Zephyr
Role: Duelist
Appearance: Zahra is a young woman with a petite frame and a fair complexion. She has long, dark hair that is usually tied back in a ponytail, and her eyes are a deep brown. She wears a white and gold headscarf, and her outfit consists of a white and gold tunic, black pants, and a pair of white and gold boots.
Personality: Zahra is a brave and determined individual, never hesitating to charge into a fight head-on. She is confident in her abilities and is not afraid to take risks, but she is also willing to take advice from her teammates and adapt her strategy accordingly. She is also known for her quick wit and sharp tongue, often making sarcastic remarks in the heat of battle.
Biography: Zahra is a Radiant from Iran who was recruited by the VALORANT Protocol as its eighteenth agent, ""Zephyr"". She was born and raised in Tehran, and she has always been a passionate fighter, never backing down from a challenge. She was drawn to the VALORANT Protocol due to its mission to protect Earth from the threats of Omega, and she is determined to do whatever it takes to keep her home safe.
Abilities:
C - Wind Wall: Zephyr creates a wall of wind that blocks incoming projectiles.
Q - Gust: Zephyr creates a gust of wind that pushes enemies away from her.
E - Tailwind: Zephyr creates a gust of wind that propels her forward.
X - Cyclone: Zephyr creates a powerful cyclone that pulls enemies towards her.
Relationships:
- Phoenix: Zahra and Phoenix have a friendly rivalry, often competing to see who can take down the most enemies.
- Sage: Zahra respects Sage's leadership and often takes her advice into consideration.
- Raze: Zahra and Raze have a playful relationship, often trading quips in the heat of battle."
"Role: initiator, Country: ('CM', 'Cameroon'), Sex: female","
Name: Ngozi Ndibe
Codename: Breach
Role: Initiator
Appearance: Ngozi is a tall woman with a muscular build and a dark complexion. She has short black hair and wears a black and yellow jumpsuit with a yellow and black mask.
Biography: Ngozi Ndibe is a native of Cameroon, where she grew up in a small village. She was always a strong and determined individual, and her strength and determination led her to join the VALORANT Protocol as its twentieth agent, ""Breach"". Ngozi is a natural leader, and her skills as an initiator have been invaluable to the Protocol.
Personality: Ngozi is a strong and determined individual, and she is always looking for ways to help her team succeed. She is also a natural leader, and she is always willing to take charge when needed. She is also a bit of a daredevil, and she loves to take risks in order to get the job done.
Abilities:
C - Flashpoint: Breach creates a flashpoint at a location, blinding all enemies in the area.
Q - Fault Line: Breach creates a fault line that travels in a straight line, damaging and stunning all enemies in its path.
E - Aftershock: Breach creates a shockwave that travels in a straight line, damaging and slowing all enemies in its path.
X - Rolling Thunder: Breach creates a powerful shockwave that travels in a straight line, damaging and stunning all enemies in its path.
Relationships:
- Sage: Sage and Breach have a strong bond, as Sage is always looking out for Breach and offering her advice and guidance.
- Raze: Raze and Breach have a friendly rivalry, as they both enjoy taking risks and pushing the boundaries.
- Cypher: Cypher and Breach have a mutual respect for each other, as they both understand the importance of keeping secrets."
"Role: sentinel, Country: ('VE', 'Venezuela'), Sex: female","
Name: Mariana Pérez
Codename: Sol
Role: Sentinel
Appearance: Mariana is a young woman with a slim build and a height of 5'7"". She has long, dark brown hair that is usually tied back in a ponytail, and her eyes are a deep brown. She wears a black and yellow jumpsuit with a yellow and black mask, and her left arm is covered in a yellow and black sleeve.

Biography: Mariana Pérez was born and raised in Caracas, Venezuela. She was always a bright and curious child, and she was fascinated by the stars and the night sky. She was also a talented athlete, and she was a member of the Venezuelan national soccer team. When she was eighteen, she was recruited by the VALORANT Protocol as their twenty-first agent, ""Sol"". She accepted the offer, and she now uses her skills and abilities to protect the world from the threats of the Omega Earth.

Personality: Mariana is a determined and courageous individual, and she is always willing to put her life on the line for the greater good. She is also a loyal friend and ally, and she will always stand by her teammates in times of need. She is also a bit of a daredevil, and she loves to take risks and push the boundaries.

Abilities:
C - Solar Shield: Mariana creates a shield of solar energy that blocks incoming attacks.
Q - Solar Flare: Mariana launches a flare of solar energy that blinds enemies in its path.
E - Solar Wind: Mariana creates a gust of solar wind that pushes enemies away.
X - Solar Storm: Mariana creates a powerful storm of solar energy that damages enemies in its path.

Relationships:
- Mariana has a strong bond with her fellow VALORANT Protocol agent, Skye. They have worked together on many missions, and they have a mutual respect for each other.
- Mariana also has a good relationship with her Omega counterpart, Sol. They have worked together on many occasions, and they have a strong bond.
- Mariana has a friendly rivalry with Raze. They often compete to see who can complete their missions faster, and they have a mutual respect for each other."
"Role: initiator, Country: ('HR', 'Croatia'), Sex: female","
Name: Ivana Kovačević
Codename: Fade
Role: Initiator
Appearance: Fade is a tall, slender woman with pale skin and long, dark hair. She wears a black and white jumpsuit with a hood and a mask that covers her face. She has a pair of goggles that she wears over her eyes, and a pair of gloves that she wears on her hands.
Biography: Ivana Kovačević was born in Croatia and grew up in a small village near the Adriatic Sea. She was always fascinated by the mysteries of the universe and the power of the unknown. She was a brilliant student and eventually earned a degree in astrophysics. After graduating, she began working for a research institute in Zagreb, where she studied the effects of cosmic radiation on the human body.

One day, Ivana's research caught the attention of the VALORANT Protocol, who recruited her to become their seventeenth agent, ""Fade"". She accepted the offer, eager to use her knowledge to help protect the world from cosmic threats.
Personality: Fade is a quiet and introspective person, preferring to observe and analyze her surroundings before taking action. She is also very determined and will not give up until she has achieved her goals. She is loyal to the VALORANT Protocol and will do whatever it takes to protect the world from cosmic threats.
Abilities:
C - Astral Form: Fade creates a portal that she can enter, allowing her to travel through walls and other obstacles.
Q - Cosmic Divide: Fade creates a wall of energy that blocks enemy movement and projectiles.
E - Celestial Rain: Fade launches a barrage of energy orbs that damage enemies in an area.
X - Black Hole: Fade creates a powerful black hole that pulls enemies towards it and deals massive damage.
Relationships:
Fade has a close relationship with Sage, as they both share a passion for cosmic energy and the mysteries of the universe. She also has a good relationship with Viper, as they both have a strong sense of loyalty to the VALORANT Protocol. Finally, she has a good relationship with Raze, as they both share a love of explosions and chaos."
